Draw Date,Mega Ball,Multiplier,Num1,Num2,Num3,Num4,Num5
2020-08-11,9,4.0,8,22,29,43,56
2020-08-14,13,2.0,3,24,29,42,47
2020-08-18,23,4.0,4,18,26,27,58
2020-08-21,14,2.0,11,15,31,42,63
2020-08-25,12,3.0,8,10,15,17,57
2020-08-28,1,3.0,3,9,50,53,64
2020-09-01,22,4.0,15,25,26,38,47
2020-09-04,25,3.0,19,22,24,28,53
2020-09-08,21,2.0,7,10,15,31,57
2020-09-11,13,2.0,3,15,42,48,56
2020-09-15,22,4.0,25,28,38,59,62
2020-09-18,11,3.0,26,29,41,52,64
2020-09-22,12,4.0,36,43,44,55,68
2020-09-25,16,2.0,20,36,37,48,67
2020-09-29,19,3.0,14,39,43,44,67
2020-10-02,25,2.0,9,38,47,49,68
2020-10-06,17,3.0,15,16,18,39,59
2020-10-09,13,2.0,5,11,25,27,64
2020-10-13,25,2.0,11,44,45,46,70
2020-10-16,12,5.0,27,32,50,52,57
2020-10-20,10,3.0,46,54,57,58,66
2020-10-23,22,2.0,18,34,44,60,69
2020-10-27,1,3.0,6,13,34,46,62
2020-10-30,11,2.0,14,19,34,39,59
2020-11-03,19,3.0,7,31,44,45,55
2020-11-06,2,2.0,18,24,27,34,60
2020-11-10,13,5.0,23,45,53,58,62
2020-11-13,7,2.0,6,7,14,28,59
2020-11-17,16,3.0,8,13,35,46,68
2020-11-20,17,3.0,26,33,45,61,68
2020-11-24,6,2.0,9,15,34,61,64
2020-11-27,10,2.0,4,10,27,35,58
2020-12-01,14,2.0,7,33,53,61,65
2020-12-04,8,3.0,3,19,24,44,50
2020-12-08,25,3.0,15,19,33,39,68
2020-12-11,25,4.0,19,31,37,55,67
2020-12-15,15,2.0,1,10,18,20,46
2020-12-18,5,3.0,7,15,25,51,60
2020-12-22,21,2.0,29,53,56,59,67
2020-12-25,19,2.0,17,23,36,69,70
2020-12-29,19,3.0,1,31,35,48,62
2021-01-01,7,5.0,8,24,53,68,69
2021-01-05,4,2.0,20,43,51,55,57
2021-01-08,11,2.0,3,6,16,18,58
2021-01-12,9,2.0,12,14,26,28,33
2021-01-15,15,4.0,3,11,12,38,43
2021-01-19,16,2.0,10,19,26,28,50
2021-01-22,24,2.0,4,26,42,50,60
2021-01-26,24,3.0,29,49,56,66,67
2021-01-29,3,3.0,4,44,58,59,70
2021-02-02,10,2.0,13,37,38,40,67
2021-02-05,2,4.0,14,17,28,29,44
2021-02-09,9,4.0,7,18,21,31,40
2021-02-12,14,3.0,5,14,24,25,27
2021-02-16,10,3.0,1,36,44,54,66
2021-02-19,4,4.0,27,32,47,50,53
2021-02-23,15,3.0,5,7,9,20,57
2021-02-26,5,2.0,11,15,37,62,64
2021-03-02,18,2.0,4,8,13,34,64
2021-03-05,20,2.0,10,11,17,27,54
2021-03-09,13,2.0,4,33,46,58,65
2021-03-12,18,4.0,2,24,25,31,65
2021-03-16,8,2.0,10,41,46,52,69
2021-03-19,8,3.0,9,14,40,58,69
2021-03-23,11,2.0,12,23,35,38,55
2021-03-26,15,3.0,4,25,37,46,67
2021-03-30,15,3.0,11,37,47,53,56
2021-04-02,19,2.0,10,42,48,53,62
2021-04-06,17,3.0,1,19,20,32,42
2021-04-09,12,2.0,22,26,27,58,66
2021-04-13,9,4.0,10,15,19,45,68
2021-04-16,25,4.0,17,27,28,50,55
2021-04-20,5,3.0,6,23,43,49,52
2021-04-23,25,3.0,4,28,29,30,60
2021-04-27,25,4.0,15,22,30,41,42
2021-04-30,5,3.0,8,19,26,48,49
2021-05-04,22,3.0,4,27,32,57,63
2021-05-07,10,4.0,5,10,19,21,50
2021-05-11,22,3.0,7,8,20,36,39
2021-05-14,3,2.0,3,18,41,44,68
2021-05-18,4,2.0,3,5,56,61,66
2021-05-21,8,3.0,6,9,17,18,48
2021-05-25,11,3.0,14,21,31,34,54
2021-05-28,15,2.0,10,14,20,47,70
2021-06-01,23,2.0,7,11,33,58,63
2021-06-04,8,3.0,4,30,34,41,64
2021-06-08,19,3.0,9,22,39,41,54
2021-06-11,13,4.0,4,43,56,63,68
2021-06-15,11,4.0,18,22,27,38,52
2021-06-18,18,2.0,14,36,44,46,53
2021-06-22,25,4.0,1,26,48,51,59
2021-06-25,12,4.0,17,20,42,45,65
2021-06-29,21,3.0,7,38,50,52,69
2021-07-02,19,2.0,8,31,32,34,45
2021-07-06,14,3.0,18,47,63,68,69
2021-07-09,17,2.0,6,37,39,41,46
2021-07-13,24,2.0,3,10,17,26,55
2021-07-16,24,4.0,24,25,47,52,57
2021-07-20,10,2.0,10,26,30,52,57
2021-07-23,17,3.0,13,17,19,40,69
2021-07-27,11,3.0,2,35,36,54,64
2021-07-30,10,3.0,19,26,31,52,68
2021-08-03,24,2.0,1,9,17,27,34
2021-08-06,9,2.0,9,18,40,46,69
2021-08-10,12,2.0,29,45,50,59,62
2021-08-13,11,2.0,17,21,35,40,53
2021-08-17,24,3.0,3,6,16,38,56
2021-08-20,1,2.0,41,43,51,57,70
2021-08-24,19,2.0,17,18,26,52,67
2021-08-27,23,3.0,1,10,44,47,56
2021-08-31,15,3.0,8,14,31,58,68
2021-09-03,3,2.0,7,10,12,61,65
2021-09-07,12,3.0,15,17,25,32,53
2021-09-10,18,2.0,20,32,35,47,64
2021-09-14,16,2.0,4,13,19,63,64
2021-09-17,18,3.0,17,32,40,59,61
2021-09-21,13,3.0,36,41,45,51,56
2021-09-24,15,3.0,17,21,27,43,56
2021-09-28,22,4.0,18,30,43,68,69
2021-10-01,6,2.0,21,25,36,62,63
2021-10-05,4,3.0,7,11,18,30,36
2021-10-08,22,5.0,21,24,36,40,70
2021-10-12,4,3.0,21,26,56,61,65
2021-10-15,18,3.0,3,20,31,34,65
2021-10-19,1,3.0,3,12,13,19,52
2021-10-22,22,3.0,9,14,26,29,66
2021-10-26,9,4.0,6,14,19,56,62
2021-10-29,4,3.0,15,26,28,35,45
2021-11-02,9,2.0,5,10,26,58,65
2021-11-05,18,2.0,10,15,20,66,68
2021-11-09,14,3.0,9,14,16,26,49
2021-11-12,15,2.0,30,32,42,46,48
2021-11-16,3,3.0,6,22,44,53,65
2021-11-19,18,5.0,5,23,52,53,59
2021-11-23,6,3.0,7,24,54,57,58
2021-11-26,2,2.0,7,27,37,42,59
2021-11-30,17,2.0,7,8,26,30,39
2021-12-03,13,5.0,22,45,48,58,61
2021-12-07,1,2.0,1,7,40,43,68
2021-12-10,8,2.0,23,25,40,42,60
2021-12-14,20,3.0,33,35,44,55,69
2021-12-17,10,3.0,21,32,38,48,62
2021-12-21,24,3.0,25,31,58,64,67
2021-12-24,16,2.0,16,17,25,36,37
2021-12-28,4,3.0,3,5,8,31,38
2021-12-31,8,3.0,2,5,30,46,61
2022-01-04,1,3.0,4,6,16,21,22
2022-01-07,6,3.0,7,29,43,56,57
2022-01-11,16,2.0,2,3,19,52,58
2022-01-14,25,2.0,5,8,13,22,48
2022-01-18,9,4.0,4,19,39,42,52
2022-01-21,18,2.0,38,45,46,55,67
2022-01-25,13,3.0,3,12,38,53,58
2022-01-28,13,3.0,3,16,25,44,55
2022-02-01,1,4.0,11,24,38,62,66
2022-02-04,24,4.0,7,16,34,44,61
2022-02-08,2,3.0,1,17,20,52,54
2022-02-11,24,3.0,11,16,23,24,30
2022-02-15,19,3.0,2,4,15,21,63
2022-02-18,17,4.0,6,11,50,63,68
2022-02-22,3,3.0,6,17,22,57,62
2022-02-25,4,3.0,15,31,40,56,66
2022-03-01,18,2.0,18,22,38,39,50
2022-03-04,5,4.0,11,19,28,46,47
2022-03-08,24,3.0,7,18,38,58,64
2022-03-11,25,3.0,24,28,39,44,66
2022-03-15,24,5.0,9,14,28,59,60
2022-03-18,5,4.0,2,6,25,40,45
2022-03-22,8,3.0,8,15,21,27,61
2022-03-25,17,2.0,3,13,42,51,58
2022-03-29,12,2.0,7,22,36,45,47
2022-04-01,21,5.0,26,42,47,48,63
2022-04-05,18,2.0,22,43,60,63,64
2022-04-08,2,3.0,8,11,29,32,40
2022-04-12,17,2.0,2,8,14,20,31
2022-04-15,23,4.0,4,17,20,46,64
2022-04-19,24,3.0,2,9,33,47,53
2022-04-22,10,3.0,7,28,29,58,59
2022-04-26,2,4.0,5,7,19,46,69
2022-04-29,15,2.0,9,11,34,49,66
2022-05-03,17,2.0,15,19,27,35,57
2022-05-06,10,2.0,16,21,33,52,70
2022-05-10,6,3.0,15,19,20,61,70
2022-05-13,13,3.0,11,41,43,44,65
2022-05-17,24,4.0,7,21,24,41,65
2022-05-20,22,3.0,33,40,59,60,69
2022-05-24,25,3.0,3,5,6,63,68
2022-05-27,8,3.0,3,14,40,53,54
2022-05-31,24,4.0,6,15,41,63,64
2022-06-03,11,4.0,11,16,22,48,59
2022-06-07,3,4.0,4,34,40,41,53
2022-06-10,4,5.0,3,12,14,18,32
2022-06-14,22,2.0,30,37,38,42,58
2022-06-17,16,2.0,20,36,53,56,69
2022-06-21,20,3.0,8,13,18,32,42
2022-06-24,14,2.0,1,7,11,25,56
2022-06-28,11,2.0,7,12,21,43,55
2022-07-01,12,3.0,1,27,29,38,62
2022-07-05,21,4.0,27,31,50,51,61
2022-07-08,20,3.0,20,36,61,62,69
2022-07-12,12,2.0,4,7,10,45,64
2022-07-15,15,5.0,8,20,26,53,64
2022-07-19,25,3.0,2,31,32,37,70
2022-07-22,16,3.0,14,40,60,64,66
2022-07-26,15,3.0,7,29,60,63,66
2022-07-29,14,2.0,13,36,45,57,67
2022-08-02,14,3.0,10,14,25,37,63
2022-08-05,18,3.0,2,5,29,64,69
2022-08-09,13,3.0,1,8,10,25,32
2022-08-12,3,3.0,23,24,50,54,64
2022-08-16,1,2.0,33,35,41,45,51
2022-08-19,3,4.0,12,18,24,46,65
2022-08-23,7,2.0,3,5,47,48,67
