Draw Date,Mega Ball,Multiplier,Num1,Num2,Num3,Num4,Num5
2023-08-04,20,2.0,11,30,45,52,56
2023-08-08,14,2.0,13,19,20,32,33
2023-08-11,18,3.0,8,9,18,35,41
2023-08-15,7,3.0,18,39,42,57,63
2023-08-18,11,3.0,10,20,29,44,66
2023-08-22,7,2.0,1,12,26,36,50
2023-08-25,2,2.0,12,23,26,31,38
2023-08-29,25,3.0,9,39,52,61,63
2023-09-01,8,2.0,10,31,42,43,55
2023-09-05,13,2.0,3,43,50,51,65
2023-09-08,1,3.0,3,12,17,51,62
2023-09-12,18,5.0,2,14,21,42,67
2023-09-15,25,3.0,5,13,29,50,53
2023-09-19,24,2.0,6,9,13,29,66
2023-09-22,3,2.0,10,13,14,57,66
2023-09-26,16,4.0,15,30,35,42,60
2023-09-29,11,4.0,18,40,47,55,64
2023-10-03,24,3.0,3,19,32,39,59
2023-10-06,22,3.0,12,24,46,57,66
2023-10-10,7,4.0,3,8,17,46,63
2023-10-13,18,3.0,6,18,44,46,68
2023-10-17,20,4.0,5,6,29,32,61
2023-10-20,22,4.0,7,29,36,49,61
2023-10-24,7,3.0,16,20,30,54,59
2023-10-27,6,4.0,11,32,43,57,70
2023-10-31,15,3.0,14,35,37,55,70
2023-11-03,12,4.0,15,32,38,47,65
2023-11-07,20,2.0,3,11,33,42,52
2023-11-10,8,3.0,13,33,59,68,70
2023-11-14,22,4.0,29,35,59,61,69
2023-11-17,17,3.0,6,12,31,33,69
2023-11-21,24,4.0,17,22,25,30,38
2023-11-24,1,4.0,6,15,45,59,68
2023-11-28,11,3.0,27,37,42,59,61
2023-12-01,12,4.0,12,47,49,52,65
2023-12-05,18,4.0,18,35,40,64,67
2023-12-08,13,3.0,21,26,53,66,70
2023-12-12,3,4.0,8,23,44,45,53
2023-12-15,12,2.0,10,20,28,40,54
2023-12-19,11,3.0,17,26,50,58,61
2023-12-22,4,4.0,10,26,36,54,69
2023-12-26,21,3.0,8,10,22,58,64
2023-12-29,10,3.0,11,27,30,62,70
2024-01-02,1,2.0,3,18,27,29,64
2024-01-05,25,3.0,5,23,26,38,44
2024-01-09,24,3.0,12,15,32,33,53
2024-01-12,7,3.0,19,34,35,45,67
2024-01-16,13,2.0,2,10,42,49,54
2024-01-19,17,2.0,1,9,16,17,30
2024-01-23,20,2.0,21,28,58,69,70
2024-01-26,13,3.0,14,31,34,50,61
2024-01-30,11,4.0,3,5,16,58,59
2024-02-02,18,3.0,11,22,42,64,69
2024-02-06,10,4.0,2,10,31,44,57
2024-02-09,1,3.0,17,22,29,46,69
2024-02-13,20,3.0,1,3,19,25,58
2024-02-16,18,4.0,19,23,39,42,67
2024-02-20,7,2.0,5,45,55,58,68
2024-02-23,11,5.0,4,6,40,41,60
2024-02-27,4,3.0,6,18,26,27,49
2024-03-01,24,4.0,15,33,37,55,61
2024-03-05,14,2.0,2,49,50,61,70
2024-03-08,1,3.0,19,20,22,47,58
2024-03-12,24,3.0,2,16,31,57,64
2024-03-15,6,5.0,13,25,50,51,66
2024-03-19,7,2.0,24,46,49,62,66
2024-03-22,16,3.0,3,8,31,35,44
2024-03-26,4,2.0,7,11,22,29,38
2024-03-29,16,4.0,11,30,33,38,60
2024-04-02,19,3.0,10,50,56,60,66
2024-04-05,14,3.0,20,30,54,63,65
2024-04-09,25,4.0,34,43,51,52,69
2024-04-12,16,2.0,1,12,14,18,66
2024-04-16,2,4.0,21,26,36,44,59
2024-04-19,3,3.0,19,30,34,46,58
2024-04-23,14,4.0,11,17,33,39,43
2024-04-26,9,3.0,15,23,53,57,61
2024-04-30,5,3.0,10,18,27,37,61
2024-05-03,11,2.0,6,13,15,53,56
2024-05-07,15,3.0,26,28,36,63,66
2024-05-10,18,4.0,13,22,26,32,65
2024-05-14,6,3.0,13,19,43,62,64
2024-05-17,3,2.0,8,17,40,60,70
2024-05-21,14,2.0,2,5,8,28,69
2024-05-24,16,3.0,46,54,56,67,70
2024-05-28,4,5.0,12,18,48,57,62
2024-05-31,23,4.0,4,11,23,33,49
2024-06-04,17,3.0,19,37,40,63,69
2024-06-07,7,4.0,3,5,12,22,66
2024-06-11,8,4.0,1,5,7,22,24
2024-06-14,2,3.0,1,25,26,31,65
2024-06-18,20,2.0,21,22,50,55,67
2024-06-21,19,4.0,3,18,27,40,44
2024-06-25,8,4.0,3,16,27,47,62
2024-06-28,24,3.0,28,31,33,42,66
2024-07-02,11,4.0,4,8,19,31,45
2024-07-05,4,3.0,6,15,32,54,67
2024-07-09,3,3.0,21,26,54,60,64
2024-07-12,8,3.0,15,35,48,53,68
2024-07-16,22,2.0,5,35,42,58,66
2024-07-19,3,3.0,10,17,23,50,67
2024-07-23,21,4.0,3,9,14,26,51
2024-07-26,3,3.0,2,14,33,58,65
2024-07-30,25,2.0,19,23,30,33,50
2024-08-02,13,4.0,6,7,24,44,54
2024-08-06,22,4.0,23,29,36,61,70
2024-08-09,21,2.0,12,32,38,40,57
2024-08-13,12,4.0,34,55,59,65,70
2024-08-16,5,3.0,22,38,48,51,61
2024-08-20,24,4.0,5,20,26,49,51
2024-08-23,2,3.0,28,30,44,66,69
2024-08-27,5,2.0,16,18,21,54,65
2024-08-30,8,4.0,10,17,20,24,54
2024-09-03,9,4.0,12,41,43,52,55
2024-09-06,25,2.0,6,23,41,59,63
2024-09-10,6,4.0,1,2,16,24,66
2024-09-13,1,3.0,21,55,56,57,66
2024-09-17,9,3.0,14,31,48,57,64
2024-09-20,11,3.0,20,21,40,49,55
2024-09-24,18,5.0,1,6,10,23,27
2024-09-27,23,2.0,29,46,53,69,70
2024-10-01,25,2.0,27,35,47,50,66
2024-10-04,3,2.0,21,39,42,43,45
2024-10-08,9,3.0,3,19,20,22,66
2024-10-11,20,3.0,3,10,29,52,57
2024-10-15,3,3.0,22,34,44,54,62
2024-10-18,23,4.0,4,9,26,39,58
2024-10-22,4,3.0,8,43,48,58,60
2024-10-25,7,2.0,23,26,35,41,43
2024-10-29,1,4.0,16,22,26,36,56
2024-11-01,4,2.0,11,22,42,46,51
2024-11-05,9,2.0,2,24,25,52,58
2024-11-08,19,3.0,25,28,42,64,69
2024-11-12,17,3.0,18,31,33,64,68
2024-11-15,19,2.0,5,17,35,55,69
2024-11-19,8,4.0,5,35,50,51,59
2024-11-22,2,2.0,13,20,26,32,65
2024-11-26,3,3.0,5,22,24,39,42
2024-11-29,17,2.0,3,29,34,37,38
2024-12-03,23,4.0,52,60,61,66,67
2024-12-06,24,2.0,16,21,33,39,45
2024-12-10,21,5.0,12,14,26,48,52
2024-12-13,16,3.0,36,43,52,58,65
2024-12-17,18,4.0,56,66,67,68,69
2024-12-20,19,2.0,2,20,51,56,67
2024-12-24,3,3.0,11,14,38,45,46
2024-12-27,6,3.0,3,7,37,49,55
2024-12-31,1,2.0,13,22,27,29,35
2025-01-03,19,4.0,20,42,46,59,69
2025-01-07,18,2.0,20,24,33,39,48
2025-01-10,22,3.0,9,23,39,65,66
2025-01-14,6,3.0,4,14,35,49,62
2025-01-17,22,3.0,8,10,37,54,69
2025-01-21,22,4.0,27,30,56,64,65
2025-01-24,18,2.0,8,12,43,52,62
2025-01-28,6,5.0,10,19,31,47,56
2025-01-31,2,2.0,9,28,48,56,63
2025-02-04,1,3.0,14,24,31,53,54
2025-02-07,16,2.0,4,24,32,41,55
2025-02-11,13,3.0,7,30,39,41,70
2025-02-14,16,3.0,11,19,31,49,56
2025-02-18,22,2.0,1,20,25,58,61
2025-02-21,10,2.0,1,13,28,37,46
2025-02-25,13,2.0,4,8,11,32,52
2025-02-28,16,3.0,9,19,30,35,66
2025-03-04,6,2.0,14,19,47,52,70
2025-03-07,7,3.0,8,20,48,58,60
2025-03-11,15,3.0,1,19,26,38,69
2025-03-14,1,3.0,3,17,39,42,70
2025-03-18,24,3.0,27,28,31,32,33
2025-03-21,2,3.0,15,22,31,52,57
2025-03-25,8,2.0,1,5,17,39,62
2025-03-28,23,5.0,2,9,31,60,63
2025-04-01,3,2.0,11,12,21,29,49
2025-04-04,25,2.0,11,28,35,37,69
2025-04-08,17,,10,16,50,60,61
2025-04-11,19,,15,37,38,56,58
2025-04-15,2,,6,10,13,24,63
2025-04-18,1,,5,13,15,17,28
2025-04-22,22,,25,39,49,52,65
2025-04-25,9,,38,40,60,62,70
2025-04-29,10,,16,33,40,51,57
2025-05-02,2,,14,37,40,41,68
2025-05-06,16,,16,17,43,46,58
2025-05-09,16,,9,10,12,48,60
2025-05-13,20,,6,29,33,47,68
2025-05-16,14,,2,22,42,62,66
2025-05-20,11,,18,30,33,55,64
2025-05-23,18,,7,18,40,55,68
2025-05-27,9,,6,28,34,48,62
2025-05-30,13,,2,28,37,38,58
2025-06-03,13,,16,24,29,36,45
2025-06-06,3,,16,40,54,56,57
2025-06-10,24,,10,11,14,38,45
2025-06-13,1,,8,10,22,40,47
2025-06-17,12,,16,23,39,46,55
2025-06-20,9,,26,49,58,61,63
2025-06-24,20,,10,11,18,24,60
2025-06-27,2,,18,21,29,42,50
2025-07-01,5,,19,28,31,39,54
2025-07-04,24,,17,20,24,41,42
2025-07-08,24,,4,6,38,44,62
2025-07-11,1,,12,23,24,31,56
2025-07-15,1,,6,10,24,35,43
2025-07-18,3,,11,43,54,55,63
2025-07-22,17,,22,41,42,59,69
2025-07-25,7,,14,21,25,49,52
2025-07-29,11,,17,30,34,63,67
2025-08-01,22,,18,27,29,33,70
2025-08-05,2,,12,27,42,59,65
2025-08-08,12,,2,6,8,14,49
2025-08-12,23,,1,8,31,56,67
2025-08-15,16,,4,17,27,34,69
2025-08-19,10,,10,19,24,49,68
2025-08-22,12,,18,30,44,48,50
2025-08-26,17,,7,12,30,40,69
2025-08-29,21,,13,31,32,44,45
2025-09-02,23,,7,17,35,40,64
2025-09-05,24,,6,14,36,58,62
2025-09-09,22,,6,43,52,64,65
2025-09-12,7,,17,18,21,42,64
2025-09-16,5,,10,14,34,40,43
2025-09-19,8,,2,22,27,42,58
2025-09-23,18,,13,24,41,42,70
2025-09-26,21,,4,21,27,33,49
2025-09-30,14,,4,8,27,37,63
2025-10-03,19,,18,19,38,54,57
2025-10-07,19,,17,26,33,45,56
2025-10-10,8,,3,18,23,32,56
2025-10-14,19,,12,22,49,57,58
2025-10-17,10,,9,21,27,48,56
2025-10-21,18,,2,18,27,34,59
2025-10-24,24,,11,18,31,51,56
2025-10-28,14,,2,19,33,53,61
2025-10-31,9,,2,24,52,66,68
2025-11-04,6,,11,14,17,50,57
2025-11-07,5,,16,21,23,48,70
2025-11-11,1,,10,13,40,42,46
2025-11-14,7,,1,8,11,12,57
2025-11-18,10,,5,10,23,27,30
2025-11-21,9,,3,4,19,31,63
2025-11-25,18,,11,15,31,32,59
2025-11-28,4,,6,7,13,39,48
2025-12-02,16,,17,25,26,53,60
2025-12-05,8,,34,38,42,44,69
2025-12-09,6,,19,32,41,49,66
2025-12-12,5,,10,50,55,58,59
2025-12-16,7,,20,24,46,59,65
2025-12-19,18,,1,11,27,39,59
2025-12-23,21,,15,37,38,41,64
2025-12-26,7,,9,19,31,63,64
2025-12-30,6,,18,43,49,63,69
2026-01-02,4,,6,13,34,43,52
2026-01-06,24,,9,39,47,58,68
2026-01-09,16,,12,30,36,42,47
2026-01-13,4,,16,40,56,64,66
2026-01-16,1,,2,22,33,42,67
2026-01-20,12,,8,47,50,56,70
2026-01-23,4,,30,42,49,53,66
2026-01-27,5,,4,20,38,56,66
2026-01-30,13,,11,34,36,43,63
2026-02-03,21,,5,11,22,25,69
2026-02-06,19,,13,21,25,52,62
2026-02-10,6,,5,25,30,36,68
2026-02-13,1,,34,40,49,59,68
2026-02-17,14,,3,37,44,52,63
2026-02-20,2,,15,40,48,58,63
2026-02-24,23,,12,39,43,49,55
2026-02-27,23,,11,18,39,43,67
2026-03-03,16,,7,21,53,54,62
2026-03-06,24,,8,19,26,38,42
2026-03-10,7,,16,21,30,35,65
2026-03-13,9,,6,19,36,40,55
2026-03-17,24,,4,11,18,38,50
2026-03-20,4,,11,20,51,55,63
