Draw Date,Winning Numbers,Mega Ball,Multiplier
12/30/03,12 18 21 32 46,49,
01/02/04,07 08 36 44 48,9,
01/06/04,07 13 15 25 32,9,
01/09/04,24 32 38 47 49,12,
01/13/04,03 17 18 21 45,21,
01/16/04,12 26 41 44 49,44,
01/20/04,05 07 14 21 45,36,
01/23/04,10 18 33 46 51,13,
01/27/04,06 10 20 38 50,27,
01/30/04,17 28 30 40 51,44,
02/03/04,09 21 26 35 41,17,
02/06/04,01 06 16 30 49,13,
02/10/04,03 07 10 22 32,23,
02/13/04,14 30 42 43 45,30,
02/17/04,02 08 34 36 52,21,
02/20/04,01 13 20 21 30,24,
02/24/04,06 11 43 49 52,21,
02/27/04,02 09 24 36 52,44,
03/02/04,25 30 35 40 50,4,
03/05/04,30 40 47 49 52,3,
03/09/04,16 23 29 36 51,49,
03/12/04,04 29 32 35 36,11,
03/16/04,03 28 45 49 51,52,
03/19/04,06 09 14 32 50,4,
03/23/04,12 22 35 39 46,32,
03/26/04,08 10 17 37 49,20,
03/30/04,03 27 31 41 45,33,
04/02/04,08 17 25 46 47,13,
04/06/04,08 17 29 32 39,49,
04/09/04,02 08 10 11 23,40,
04/13/04,13 36 39 50 51,34,
04/16/04,06 24 29 42 51,41,
04/20/04,12 22 37 46 48,49,
04/23/04,08 22 25 47 48,27,
04/27/04,01 10 17 23 35,45,
04/30/04,15 21 32 39 50,34,
05/04/04,03 15 29 37 39,40,
05/07/04,14 17 19 44 50,17,
05/11/04,09 25 30 34 37,30,
05/14/04,10 19 32 36 46,6,
05/18/04,02 36 44 46 51,45,
05/21/04,04 20 27 38 49,31,
05/25/04,05 18 34 36 39,43,
05/28/04,13 27 36 39 51,33,
06/01/04,07 16 17 26 48,15,
06/04/04,04 16 18 41 47,46,
06/08/04,17 24 29 37 45,43,
06/11/04,12 28 36 39 52,36,
06/15/04,18 23 27 29 44,24,
06/18/04,07 10 11 15 51,23,
06/22/04,09 10 17 41 52,19,
06/25/04,18 19 29 32 42,32,
06/29/04,10 13 19 28 38,1,
07/02/04,10 25 38 39 50,12,
07/06/04,06 07 08 31 48,19,
07/09/04,11 23 25 29 45,16,
07/13/04,13 31 37 39 52,38,
07/16/04,03 21 22 35 44,7,
07/20/04,06 15 21 32 44,13,
07/23/04,05 12 25 35 37,12,
07/27/04,08 10 11 13 24,46,
07/30/04,16 19 21 34 35,22,
08/03/04,01 02 13 16 22,31,
08/06/04,04 23 33 38 49,7,
08/10/04,18 25 29 31 44,33,
08/13/04,14 31 41 45 48,20,
08/17/04,22 23 26 28 36,10,
08/20/04,12 17 34 37 39,34,
08/24/04,02 05 21 47 50,46,
08/27/04,05 25 38 46 47,14,
08/31/04,14 15 25 42 44,3,
09/03/04,04 14 34 38 44,10,
09/07/04,13 30 36 38 51,35,
09/10/04,11 17 27 45 52,5,
09/14/04,12 35 37 38 50,49,
09/17/04,03 16 25 38 49,4,
09/21/04,01 03 15 19 29,39,
09/24/04,11 26 30 49 50,52,
09/28/04,01 18 39 42 50,35,
10/01/04,08 10 17 24 39,52,
10/05/04,08 34 39 48 49,47,
10/08/04,16 17 21 33 41,6,
10/12/04,04 18 19 39 51,13,
10/15/04,04 08 24 30 36,25,
10/19/04,06 13 19 34 50,33,
10/22/04,03 07 20 24 43,36,
10/26/04,14 25 39 43 49,27,
10/29/04,10 18 26 31 41,48,
11/02/04,24 32 42 49 50,3,
11/05/04,03 29 30 41 43,1,
11/09/04,11 20 26 28 52,7,
11/12/04,05 31 33 35 51,1,
11/16/04,09 10 27 28 30,18,
11/19/04,01 12 24 36 51,38,
11/23/04,08 30 32 35 51,17,
11/26/04,07 09 18 37 43,34,
11/30/04,10 20 22 28 52,4,
12/03/04,12 32 37 41 52,13,
12/07/04,01 19 22 32 49,29,
12/10/04,22 23 37 42 47,15,
12/14/04,14 27 32 34 40,2,
12/17/04,16 34 38 42 47,1,
12/21/04,07 22 27 31 38,12,
12/24/04,09 20 22 41 42,10,
12/28/04,18 29 32 38 43,50,
12/31/04,10 14 45 47 51,20,
01/04/05,03 06 07 12 32,30,
01/07/05,02 08 14 15 51,38,
01/11/05,02 23 24 35 45,18,
01/14/05,15 19 24 40 47,50,
01/18/05,10 23 28 39 51,5,
01/21/05,17 27 39 40 41,21,
01/25/05,02 10 21 25 45,22,
01/28/05,25 31 39 47 52,43,
02/01/05,03 17 21 42 44,35,
02/04/05,03 12 14 30 52,34,
02/08/05,08 11 14 23 25,21,
02/11/05,06 14 21 24 50,28,
02/15/05,03 16 20 21 38,10,
02/18/05,01 19 31 35 42,34,
02/22/05,15 18 28 41 45,27,
02/25/05,04 13 37 38 50,24,
03/01/05,01 08 18 39 48,1,
03/04/05,07 10 13 35 39,21,
03/08/05,08 14 15 22 31,13,
03/11/05,18 19 31 35 36,17,
03/15/05,14 26 27 34 44,27,
03/18/05,02 09 28 29 48,33,
03/22/05,06 11 27 37 43,34,
03/25/05,11 18 19 45 49,2,
03/29/05,07 17 18 30 42,38,
04/01/05,11 19 28 32 45,10,
04/05/05,04 19 45 51 52,22,
04/08/05,05 13 17 33 35,35,
04/12/05,15 20 43 47 50,24,
04/15/05,25 26 37 39 49,29,
04/19/05,05 06 14 42 47,3,
04/22/05,23 25 43 46 49,26,
04/26/05,18 22 33 34 42,16,
04/29/05,02 05 07 28 46,21,
05/03/05,07 17 42 46 52,47,
05/06/05,07 12 25 50 51,19,
05/10/05,11 25 38 40 42,40,
05/13/05,21 23 27 33 39,8,
05/17/05,07 09 10 29 44,17,
05/20/05,03 06 27 40 44,9,
05/24/05,09 28 39 40 45,24,
05/27/05,07 17 22 34 50,24,
05/31/05,05 13 22 37 38,11,
06/03/05,04 06 14 28 47,42,
06/07/05,07 14 28 46 47,25,
06/10/05,14 29 31 37 50,34,
06/14/05,01 10 29 48 49,36,
06/17/05,16 35 40 49 50,34,
06/21/05,09 13 40 46 50,30,
06/24/05,14 43 44 50 56,7,
06/28/05,02 20 37 43 46,4,
07/01/05,14 25 41 42 50,40,
07/05/05,22 38 48 50 55,29,
07/08/05,09 23 45 48 50,3,
07/12/05,05 17 32 39 53,36,
07/15/05,09 13 25 36 48,2,
07/19/05,07 13 48 51 54,11,
07/22/05,07 18 27 35 54,34,
07/26/05,01 10 18 29 55,8,
07/29/05,04 16 23 25 40,22,
08/02/05,17 22 39 50 52,46,
08/05/05,03 05 48 50 53,4,
08/09/05,13 35 36 43 52,5,
08/12/05,08 37 38 45 54,21,
08/16/05,09 15 20 24 55,3,
08/19/05,02 13 18 36 46,36,
08/23/05,06 07 08 13 40,12,
08/26/05,05 20 38 47 54,35,
08/30/05,19 32 42 49 56,29,
09/02/05,01 04 14 45 53,33,
09/06/05,01 08 27 31 50,40,
09/09/05,15 28 43 51 52,11,
09/13/05,13 24 44 48 52,30,
09/16/05,05 16 41 46 50,1,
09/20/05,35 36 40 42 52,45,
09/23/05,06 07 20 41 51,38,
09/27/05,14 17 26 27 28,5,
09/30/05,01 03 14 30 52,10,
10/04/05,12 24 28 29 36,41,
10/07/05,02 04 23 27 36,37,
10/11/05,24 30 42 53 54,20,
10/14/05,06 20 24 25 34,44,
10/18/05,03 12 16 32 33,15,
10/21/05,11 17 28 29 36,42,
10/25/05,07 12 18 31 55,30,
10/28/05,08 17 25 28 53,1,
11/01/05,05 18 21 28 36,20,
11/04/05,07 09 41 53 54,38,
11/08/05,08 16 21 25 27,16,
11/11/05,09 14 34 50 51,40,
11/15/05,02 04 05 40 48,7,
11/18/05,08 18 21 42 46,11,
11/22/05,09 22 37 41 43,30,
11/25/05,05 25 31 33 34,41,
11/29/05,07 08 47 51 52,5,
12/02/05,03 12 21 38 44,45,
12/06/05,06 10 26 30 33,16,
12/09/05,14 15 31 32 43,20,
12/13/05,09 10 12 22 41,4,
12/16/05,14 25 26 31 56,17,
12/20/05,06 20 23 40 56,36,
12/23/05,10 37 39 49 54,8,
12/27/05,11 24 27 49 55,23,
12/30/05,14 20 25 40 44,37,
01/03/06,15 19 20 32 38,21,
01/06/06,08 11 28 37 53,12,
01/10/06,07 27 32 37 38,30,
01/13/06,05 21 27 44 53,36,
01/17/06,24 32 37 39 40,44,
01/20/06,18 22 28 44 53,46,
01/24/06,31 34 36 51 55,4,
01/27/06,02 07 08 18 29,46,
01/31/06,01 35 53 54 56,44,
02/03/06,29 31 32 41 52,42,
02/07/06,02 16 25 30 48,26,
02/10/06,24 39 40 43 46,2,
02/14/06,27 36 43 49 54,33,
02/17/06,16 25 31 43 46,28,
02/21/06,14 23 27 36 45,36,
02/24/06,03 05 12 16 34,27,
02/28/06,02 04 35 36 48,22,
03/03/06,25 29 38 39 46,4,
03/07/06,15 27 36 38 42,32,
03/10/06,04 17 18 51 54,31,
03/14/06,27 28 30 42 50,22,
03/17/06,08 11 23 48 52,5,
03/21/06,04 16 17 28 31,8,
03/24/06,01 02 17 47 49,19,
03/28/06,14 18 35 39 49,14,
03/31/06,04 07 19 50 52,15,
04/04/06,09 25 48 51 56,7,
04/07/06,01 18 31 46 52,37,
04/11/06,02 12 45 46 56,20,
04/14/06,08 10 18 29 33,10,
04/18/06,13 14 25 34 50,6,
04/21/06,02 04 07 27 41,4,
04/25/06,01 20 32 37 39,9,
04/28/06,16 29 32 36 55,12,
05/02/06,07 11 22 27 31,33,
05/05/06,08 20 39 53 55,10,
05/09/06,07 15 24 43 44,22,
05/12/06,06 36 39 45 52,45,
05/16/06,07 24 40 48 50,15,
05/19/06,05 12 31 51 56,1,
05/23/06,17 21 28 48 54,1,
05/26/06,12 14 20 47 48,24,
05/30/06,02 13 28 34 45,36,
06/02/06,03 10 18 36 38,41,
06/06/06,05 29 35 52 53,9,
06/09/06,08 17 18 26 47,37,
06/13/06,01 20 23 24 33,29,
06/16/06,27 30 36 38 45,13,
06/20/06,11 21 37 53 54,12,
06/23/06,13 17 24 34 56,24,
06/27/06,02 14 20 29 44,32,
06/30/06,20 40 46 48 54,27,
07/04/06,09 15 31 42 45,41,
07/07/06,07 15 27 46 56,39,
07/11/06,05 14 34 36 52,42,
07/14/06,13 25 26 28 56,39,
07/18/06,12 13 29 49 52,20,
07/21/06,18 26 35 36 43,24,
07/25/06,07 21 24 41 51,10,
07/28/06,02 13 23 32 35,4,
08/01/06,14 29 32 43 49,14,
08/04/06,02 24 31 50 55,44,
08/08/06,01 05 13 18 33,30,
08/11/06,14 16 38 40 49,29,
08/15/06,10 12 22 44 48,16,
08/18/06,05 12 13 46 50,10,
08/22/06,03 04 05 07 36,16,
08/25/06,17 24 35 46 54,33,
08/29/06,15 25 37 38 52,4,
09/01/06,05 06 51 53 55,12,
09/05/06,01 32 36 42 53,4,
09/08/06,09 17 34 52 53,2,
09/12/06,03 16 25 30 44,42,
09/15/06,06 26 33 39 55,1,
09/19/06,02 19 44 45 56,43,
09/22/06,07 12 17 22 43,16,
09/26/06,03 06 38 42 45,30,
09/29/06,03 25 43 45 55,40,
10/03/06,06 19 32 33 40,39,
10/06/06,01 11 20 21 46,18,
10/10/06,14 30 35 40 43,2,
10/13/06,24 27 42 47 50,8,
10/17/06,06 18 20 28 38,37,
10/20/06,09 13 23 29 54,34,
10/24/06,05 25 41 48 51,35,
10/27/06,15 22 26 30 32,31,
10/31/06,05 34 40 45 46,21,
11/03/06,08 10 22 25 55,22,
11/07/06,13 22 33 51 52,42,
11/10/06,11 42 52 53 55,28,
11/14/06,09 20 24 25 36,23,
11/17/06,05 19 25 30 50,42,
11/21/06,07 13 20 42 47,9,
11/24/06,14 35 40 47 48,35,
11/28/06,07 14 24 41 56,7,
12/01/06,16 22 23 37 53,35,
12/05/06,06 09 13 43 46,45,
12/08/06,01 15 29 32 45,8,
12/12/06,20 30 31 35 49,23,
12/15/06,06 07 17 28 40,39,
12/19/06,09 32 37 42 48,7,
12/22/06,05 12 15 25 34,43,
12/26/06,07 12 25 44 53,3,
12/29/06,03 04 10 39 50,29,
01/02/07,09 10 38 51 53,1,
01/05/07,02 12 44 46 51,6,
01/09/07,07 11 26 38 54,13,
01/12/07,12 14 26 40 42,22,
01/16/07,04 08 15 33 52,10,
01/19/07,04 28 30 31 35,17,
01/23/07,03 05 15 26 53,35,
01/26/07,16 17 36 49 54,14,
01/30/07,14 18 44 52 56,25,
02/02/07,22 33 35 40 53,15,
02/06/07,16 21 35 36 46,38,
02/09/07,32 39 46 48 49,41,
02/13/07,03 09 24 29 41,41,
02/16/07,17 35 40 46 48,41,
02/20/07,01 09 26 46 51,11,
02/23/07,03 18 21 38 50,43,
02/27/07,18 31 44 45 48,18,
03/02/07,14 21 33 35 51,43,
03/06/07,16 22 29 39 42,20,
03/09/07,10 13 25 42 43,30,
03/13/07,07 11 16 38 49,35,
03/16/07,17 25 36 40 43,9,
03/20/07,07 21 46 49 55,15,
03/23/07,18 21 35 51 53,36,
03/27/07,18 25 34 35 42,6,
03/30/07,15 23 37 48 53,22,
04/03/07,16 26 33 34 46,38,
04/06/07,24 32 34 36 39,6,
04/10/07,07 15 16 19 28,10,
04/13/07,11 14 21 25 26,33,
04/17/07,01 04 11 31 47,37,
04/20/07,01 09 10 23 53,40,
04/24/07,08 10 35 36 43,14,
04/27/07,05 07 26 38 56,15,
05/01/07,11 16 31 52 53,42,
05/04/07,04 09 20 45 55,34,
05/08/07,16 24 41 43 54,36,
05/11/07,28 30 33 48 54,25,
05/15/07,06 13 42 46 56,42,
05/18/07,13 23 24 30 44,5,
05/22/07,02 07 11 22 36,35,
05/25/07,10 14 22 42 43,1,
05/29/07,02 24 44 51 54,7,
06/01/07,12 19 29 32 48,9,
06/05/07,27 35 38 49 56,15,
06/08/07,06 26 29 31 39,31,
06/12/07,03 13 19 31 50,21,
06/15/07,01 05 16 26 30,21,
06/19/07,05 16 31 49 54,19,
06/22/07,11 14 21 24 31,23,
06/26/07,04 10 20 29 45,21,
06/29/07,01 17 40 51 52,7,
07/03/07,21 35 37 39 40,35,
07/06/07,03 09 12 25 47,37,
07/10/07,19 24 30 34 56,19,
07/13/07,07 39 41 48 53,21,
07/17/07,16 30 38 46 51,5,
07/20/07,06 13 30 41 52,26,
07/24/07,08 17 20 23 50,17,
07/27/07,07 12 35 54 55,2,
07/31/07,05 18 37 39 43,42,
08/03/07,16 29 42 46 51,40,
08/07/07,36 41 50 55 56,9,
08/10/07,10 20 32 33 54,39,
08/14/07,05 08 09 24 34,17,
08/17/07,02 08 33 38 53,12,
08/21/07,08 38 54 55 56,2,
08/24/07,04 21 46 51 53,5,
08/28/07,37 40 48 53 56,44,
08/31/07,08 18 22 40 44,11,
09/04/07,03 06 11 42 46,38,
09/07/07,14 19 27 34 48,3,
09/11/07,09 10 17 21 35,6,
09/14/07,05 09 12 33 40,27,
09/18/07,20 24 31 34 49,8,
09/21/07,05 21 23 33 45,43,
09/25/07,02 19 23 47 54,16,
09/28/07,04 13 20 25 33,42,
10/02/07,28 37 40 43 44,20,
10/05/07,10 19 37 40 48,1,
10/09/07,01 10 17 32 51,44,
10/12/07,21 26 34 44 54,23,
10/16/07,01 02 05 41 44,25,
10/19/07,05 15 18 23 46,14,
10/23/07,02 07 45 52 53,18,
10/26/07,12 20 24 38 51,3,
10/30/07,02 08 44 46 51,22,
11/02/07,01 03 34 49 52,19,
11/06/07,03 17 43 46 47,2,
11/09/07,11 33 41 42 46,21,
11/13/07,15 26 36 39 40,45,
11/16/07,12 13 30 31 39,29,
11/20/07,14 20 23 42 43,6,
11/23/07,18 21 33 42 56,11,
11/27/07,09 10 26 29 39,10,
11/30/07,05 06 12 26 51,7,
12/04/07,16 27 30 45 53,43,
12/07/07,12 18 26 28 51,35,
12/11/07,06 25 27 30 45,46,
12/14/07,04 07 12 17 30,44,
12/18/07,03 23 46 48 49,2,
12/21/07,14 19 20 43 53,7,
12/28/07,02 19 22 28 54,25,
01/01/08,13 16 25 30 54,11,
01/04/08,24 31 39 40 56,32,
01/08/08,10 29 45 52 54,10,
01/11/08,22 36 42 45 55,42,
01/15/08,21 30 42 44 50,6,
01/18/08,12 22 33 43 44,15,
01/22/08,12 15 22 25 33,2,
01/25/08,05 12 22 38 56,22,
01/29/08,08 23 39 40 42,24,
02/01/08,03 14 30 44 56,5,
02/05/08,04 05 17 40 51,38,
02/08/08,21 30 43 46 50,18,
02/12/08,14 27 39 47 50,12,
02/15/08,07 11 26 30 53,14,
02/19/08,01 38 42 55 56,34,
02/22/08,07 12 13 19 22,10,
02/26/08,09 12 30 36 55,15,
02/29/08,05 17 22 26 55,38,
03/04/08,07 15 30 33 56,22,
03/07/08,19 32 33 41 48,12,
03/11/08,04 13 35 41 47,44,
03/14/08,03 12 18 25 52,21,
03/18/08,13 15 20 25 44,37,
03/21/08,05 08 17 19 41,21,
03/25/08,38 42 43 48 53,12,
03/28/08,07 26 27 40 43,10,
04/01/08,04 17 26 46 56,25,
04/04/08,03 05 40 45 49,17,
04/08/08,08 09 31 37 44,38,
04/11/08,14 18 27 31 42,7,
04/15/08,12 13 27 48 50,30,
04/18/08,24 28 36 50 53,29,
04/22/08,03 22 31 48 54,9,
04/25/08,19 32 37 45 52,41,
04/29/08,19 24 35 44 51,26,
05/02/08,08 28 37 53 55,26,
05/06/08,04 21 46 53 54,26,
05/09/08,16 31 43 46 56,22,
05/13/08,20 24 27 31 47,15,
05/16/08,06 11 39 46 47,26,
05/20/08,02 14 26 32 41,32,
05/23/08,04 08 11 22 30,4,
05/27/08,14 24 32 45 49,17,
05/30/08,39 40 47 53 55,32,
06/03/08,04 19 24 32 54,5,
06/06/08,08 09 43 44 54,27,
06/10/08,03 05 15 43 51,11,
06/13/08,08 09 14 38 44,36,
06/17/08,05 14 25 47 49,36,
06/20/08,11 17 25 36 42,13,
06/24/08,10 22 36 50 53,39,
06/27/08,08 14 22 39 50,44,
07/01/08,01 22 33 43 52,36,
07/04/08,01 03 12 19 20,28,
07/08/08,01 20 22 29 41,35,
07/11/08,05 14 16 39 51,34,
07/15/08,19 24 34 45 51,40,
07/18/08,17 29 36 53 55,26,
07/22/08,02 16 23 29 32,46,
07/25/08,02 16 19 35 52,17,
07/29/08,11 13 20 30 42,3,
08/01/08,09 13 17 18 56,2,
08/05/08,09 21 36 38 55,13,
08/08/08,11 17 28 32 50,33,
08/12/08,02 07 23 38 40,40,
08/15/08,08 23 29 30 53,7,
08/19/08,09 18 19 26 40,38,
08/22/08,12 13 15 41 42,37,
08/26/08,06 16 24 34 36,30,
08/29/08,21 25 26 50 51,22,
09/02/08,14 23 43 44 54,39,
09/05/08,01 06 15 27 46,39,
09/09/08,22 23 28 49 52,2,
09/12/08,01 12 14 25 35,38,
09/16/08,13 24 39 51 52,44,
09/19/08,02 09 41 48 51,37,
09/23/08,09 32 34 43 52,4,
09/26/08,06 13 14 31 36,36,
09/30/08,09 30 35 39 49,36,
10/03/08,13 28 32 41 52,16,
10/07/08,02 25 35 38 42,34,
10/10/08,14 15 43 46 48,21,
10/14/08,14 35 41 42 51,23,
10/17/08,07 15 27 28 31,35,
10/21/08,16 19 39 42 44,38,
10/24/08,05 33 34 47 52,18,
10/28/08,06 39 45 46 48,36,
10/31/08,02 07 17 29 47,40,
11/04/08,10 21 23 41 55,9,
11/07/08,14 24 32 43 44,21,
11/11/08,05 27 38 42 55,41,
11/14/08,03 18 19 30 34,3,
11/18/08,10 15 22 52 53,12,
11/21/08,01 22 52 53 56,45,
11/25/08,02 11 22 51 52,46,
11/28/08,10 30 44 46 48,44,
12/02/08,02 17 22 32 51,35,
12/05/08,21 27 46 52 55,14,
12/09/08,11 12 26 31 33,27,
12/12/08,10 16 19 27 48,25,
12/16/08,10 14 16 29 40,6,
12/19/08,03 13 16 39 54,32,
12/23/08,01 08 13 27 41,45,
12/26/08,06 19 29 33 37,31,
12/30/08,01 22 29 44 52,39,
01/02/09,02 11 19 21 34,38,
01/06/09,03 11 12 19 33,30,
01/09/09,23 25 30 45 50,8,
01/13/09,22 25 33 36 48,40,
01/16/09,02 04 21 39 51,29,
01/20/09,01 09 10 35 46,9,
01/23/09,02 17 20 27 28,7,
01/27/09,03 11 12 14 21,25,
01/30/09,13 16 19 53 55,2,
02/03/09,04 15 29 43 56,29,
02/06/09,02 12 18 28 31,3,
02/10/09,18 29 38 43 47,7,
02/13/09,25 36 37 40 51,20,
02/17/09,01 09 23 27 33,24,
02/20/09,21 28 41 45 55,24,
02/24/09,01 27 28 35 40,6,
02/27/09,24 37 44 50 56,35,
03/03/09,26 32 35 43 52,10,
03/06/09,11 18 37 46 55,45,
03/10/09,02 27 31 39 40,23,
03/13/09,10 12 26 46 50,23,
03/17/09,09 15 24 28 31,17,
03/20/09,15 16 20 39 40,26,
03/24/09,04 25 34 43 44,45,
03/27/09,10 15 24 38 50,19,
03/31/09,14 39 47 48 53,29,
04/03/09,16 22 38 39 48,42,
04/07/09,02 04 13 17 36,15,
04/10/09,18 25 36 42 51,22,
04/14/09,04 11 22 48 50,42,
04/17/09,05 13 26 35 45,32,
04/21/09,05 24 37 47 52,6,
04/24/09,09 20 21 48 49,7,
04/28/09,15 20 24 36 44,6,
05/01/09,09 16 24 40 43,35,
05/05/09,05 23 38 39 54,3,
05/08/09,12 27 29 32 34,34,
05/12/09,04 08 10 14 51,31,
05/15/09,07 12 24 36 48,27,
05/19/09,02 04 09 15 42,13,
05/22/09,03 29 34 42 49,29,
05/26/09,09 18 21 37 55,33,
05/29/09,23 30 36 39 48,34,
